"","","5%","95%"
"b[fidino species:Northern_Mockingbird]",1.68105995287345,0.224226225172881,3.13271927154119
"b[(Intercept) species:Northern_Parula]",-0.680109246903753,-1.24399996577318,-0.140365982464965
"b[dreuth species:Northern_Parula]",-0.333778606338394,-0.923961434875181,0.231952485604211
"b[fidino species:Northern_Parula]",-0.300820195056219,-0.992216040792104,0.402378915670302
"b[(Intercept) species:Northern_Rough-winged_Swallow]",-2.82398498064951,-4.29991255594713,-1.49724484396634
"b[dreuth species:Northern_Rough-winged_Swallow]",1.14591590880916,-0.0735828768712473,2.50848048870565
"b[fidino species:Northern_Rough-winged_Swallow]",3.92223611833541,2.63687299189538,5.41540693131484
"b[(Intercept) species:Northern_Waterthrush]",1.14268786344877,0.750590319430073,1.5420334635659
"b[dreuth species:Northern_Waterthrush]",0.129522372578019,-0.216187430928517,0.477370664381915
"b[fidino species:Northern_Waterthrush]",0.444081615509088,-0.0270927815518009,0.900870045819022
"b[(Intercept) species:Olive-sided_Flycatcher]",-3.05256686398725,-4.47144170517321,-1.88484017863737
"b[dreuth species:Olive-sided_Flycatcher]",1.09407370382267,-0.14364398461251,2.45568080471835
"b[fidino species:Olive-sided_Flycatcher]",1.94710690285583,0.41172164568212,3.53017447882422
"b[(Intercept) species:Orange-crowned_Warbler]",-2.84872129282878,-4.03902163235182,-1.89533112007624
"b[dreuth species:Orange-crowned_Warbler]",2.50798541158921,1.54454163657065,3.67655889283061
"b[fidino species:Orange-crowned_Warbler]",1.76850731217533,0.636766810764941,3.04621382459624
"b[(Intercept) species:Orchard_Oriole]",-0.818245886343693,-1.42935767106039,-0.197817335983022
"b[dreuth species:Orchard_Oriole]",-1.55981220981473,-2.39597014540531,-0.810371717760034
"b[fidino species:Orchard_Oriole]",-2.44469187129935,-4.12613562400105,-1.09732988749485
"b[(Intercept) species:Ovenbird]",0.686342276184744,0.215699527337534,1.13720998274295
"b[dreuth species:Ovenbird]",0.0620716718214952,-0.295754757594749,0.411306008427893
"b[fidino species:Ovenbird]",-1.16183945101223,-1.74841119818207,-0.604760729322329
"b[(Intercept) species:Palm_Warbler]",1.13147190635452,0.531201178025902,1.73561901858678
"b[dreuth species:Palm_Warbler]",0.414057231137212,0.0860209941933567,0.740304311446237
"b[fidino species:Palm_Warbler]",-0.128408237074546,-0.727248385766056,0.471746813259422
"b[(Intercept) species:Philadelphia_Vireo]",-2.88946182751922,-4.08967779775896,-1.94288648100964
"b[dreuth species:Philadelphia_Vireo]",2.35410444990503,1.39532217799813,3.54578307290873
"b[fidino species:Philadelphia_Vireo]",1.64740357241956,0.500249595307901,2.987246819901
"b[(Intercept) species:Pine_Warbler]",-0.76210137290787,-1.33157936113201,-0.216877445560053
"b[dreuth species:Pine_Warbler]",-0.971490147282077,-1.68965189850323,-0.289958050112692
"b[fidino species:Pine_Warbler]",-0.864223261653651,-1.69557363989404,-0.0844797795998693
"b[(Intercept) species:Prothonotary_Warbler]",-2.08301518156726,-2.93086447162928,-1.31946787158554
"b[dreuth species:Prothonotary_Warbler]",-0.465167731618878,-1.50419104377305,0.499448304728358
"b[fidino species:Prothonotary_Warbler]",-0.378850671599472,-1.55774182463611,0.752346938193709
"b[(Intercept) species:Purple_Finch]",-1.24457655506266,-1.98156601721634,-0.558562055556445
"b[dreuth species:Purple_Finch]",0.755998570563973,0.20964675580052,1.32137918442755
"b[fidino species:Purple_Finch]",-2.30252950764154,-3.70993055323593,-1.12518968569275
"b[(Intercept) species:Purple_Martin]",0.0660799369077332,-1.05654279995895,1.16506732607049
"b[dreuth species:Purple_Martin]",2.33025956497557,1.95655211560948,2.72743060245679
"b[fidino species:Purple_Martin]",-0.875600478010087,-2.42855660208465,0.509351712014445
"b[(Intercept) species:Red-bellied_Woodpecker]",-3.67101061394914,-5.07587848663539,-2.3826374230646
"b[dreuth species:Red-bellied_Woodpecker]",0.0647854173233356,-1.23488388574868,1.42216832742953
"b[fidino species:Red-bellied_Woodpecker]",1.87794534740048,0.608501506118882,3.27832943021441
"b[(Intercept) species:Red-breasted_Nuthatch]",-0.358394434373551,-0.902839177145812,0.157665948881829
"b[dreuth species:Red-breasted_Nuthatch]",0.165581801000722,-0.349974269217448,0.6822411553476
"b[fidino species:Red-breasted_Nuthatch]",1.07846317538164,0.453946154598654,1.71136204299027
"b[(Intercept) species:Red-eyed_Vireo]",0.675851659841846,0.281616257950052,1.05946081781184
"b[dreuth species:Red-eyed_Vireo]",-0.577929024442889,-0.990720368706372,-0.17063656039405
"b[fidino species:Red-eyed_Vireo]",-0.673025478777968,-1.22487669540281,-0.133655899867849
"b[(Intercept) species:Red-headed_Woodpecker]",1.37741858302722,0.730608362340666,2.04475043633647
"b[dreuth species:Red-headed_Woodpecker]",-0.0859764650662496,-0.398080095966069,0.227015359380799
"b[fidino species:Red-headed_Woodpecker]",-1.5632514923887,-2.35950423216594,-0.787631780722087
"b[(Intercept) species:Red-winged_Blackbird]",0.0414182447713808,-0.420823044569887,0.484745709114243
"b[dreuth species:Red-winged_Blackbird]",2.88877694260725,2.487049651062,3.31033981853798
"b[fidino species:Red-winged_Blackbird]",4.95383497874778,4.38701085675525,5.54815926769499
"b[(Intercept) species:Rose-breasted_Grosbeak]",-0.304776769964123,-0.956191514269326,0.346634307140799
"b[dreuth species:Rose-breasted_Grosbeak]",-0.00390371567843797,-0.461824101929455,0.435247836321488
"b[fidino species:Rose-breasted_Grosbeak]",-0.0312102758097929,-0.733360932662686,0.674967415620968
"b[(Intercept) species:Ruby-crowned_Kinglet]",2.34481690425906,1.97237227531617,2.71991449152097
"b[dreuth species:Ruby-crowned_Kinglet]",-0.575254562127645,-0.892276141923162,-0.273455090470796
"b[fidino species:Ruby-crowned_Kinglet]",-0.120318592047363,-0.54805643934919,0.301690069729452
"b[(Intercept) species:Ruby-throated_Hummingbird]",0.26835099663638,-0.381940936896246,0.913019404647359
"b[dreuth species:Ruby-throated_Hummingbird]",-0.885793239944028,-1.41596104337122,-0.369335653305596
"b[fidino species:Ruby-throated_Hummingbird]",-1.76900056324539,-2.57191131566209,-0.986654334460691
"b[(Intercept) species:Rusty_Blackbird]",-1.10069792513416,-1.88327396295229,-0.385937862375333
"b[dreuth species:Rusty_Blackbird]",0.7986441794754,0.111628205114312,1.53979994399306
"b[fidino species:Rusty_Blackbird]",-0.503460980764365,-1.93205963171031,0.738742145914519
"b[(Intercept) species:Savannah_Sparrow]",-1.83682754049019,-2.62814985200637,-1.13341395174032
"b[dreuth species:Savannah_Sparrow]",2.34771833816134,1.71969495645154,3.06072233249568
